"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","5","2:24.413","2:24.969","7:46.071","","","","","","","","04:11.818"
"GR Cup","Am","7","2:27.214","2:27.686","2:56.653","3:06.609","4:03.884","","","","","","03:00.409"
"GR Cup","Am","09","2:26.267","2:27.126","2:54.852","3:00.217","4:52.812","","","","","","03:08.255"
"GR Cup","Am","11","2:27.563","2:27.949","2:56.347","3:02.936","4:14.893","","","","","","03:01.938"
"GR Cup","Am","13","2:25.397","2:51.400","8:02.336","","","","","","","","04:26.378"
"GR Cup","Am","14","2:29.627","2:30.217","7:49.509","","","","","","","","04:16.451"
"GR Cup","Am","15","2:26.848","2:32.388","2:54.278","3:09.978","4:22.459","","","","","","03:05.190"
"GR Cup","Am","18","2:25.670","2:27.046","2:57.378","7:46.820","","","","","","","03:54.229"
"GR Cup","Am","21","2:26.582","2:26.879","7:46.711","","","","","","","","04:13.391"
"GR Cup","Am","22","2:26.781","2:33.553","7:38.734","","","","","","","","04:13.023"
"GR Cup","Am","24","2:25.999","","","","","","","","","","02:25.999"
"GR Cup","Am","25","2:29.513","2:31.372","7:41.434","","","","","","","","04:14.106"
"GR Cup","Am","31","2:26.378","2:26.425","2:52.158","3:09.021","3:55.915","","","","","","02:57.979"
"GR Cup","Am","34","2:26.948","2:49.178","7:23.315","","","","","","","","04:13.147"
"GR Cup","Am","39","2:26.559","2:27.037","7:46.905","","","","","","","","04:13.500"
"GR Cup","Am","43","2:26.768","2:26.820","3:01.067","3:06.449","4:13.331","","","","","","03:02.887"
"GR Cup","Am","44","2:25.694","2:26.470","3:00.812","3:08.195","4:12.920","","","","","","03:02.818"
"GR Cup","Am","46","2:25.552","8:01.770","","","","","","","","","05:13.661"
"GR Cup","Am","50","2:26.186","2:27.601","2:55.149","3:02.708","4:38.927","","","","","","03:06.114"
"GR Cup","Am","51","2:26.074","2:51.423","7:59.935","","","","","","","","04:25.811"
"GR Cup","Am","55","2:25.361","2:25.476","7:51.636","","","","","","","","04:14.158"
"GR Cup","Am","57","2:26.158","2:52.689","7:56.568","","","","","","","","04:25.138"
"GR Cup","Am","61","2:27.116","2:30.830","7:01.080","","","","","","","","03:59.675"
"GR Cup","Am","76","2:26.510","2:26.837","7:44.274","","","","","","","","04:12.540"
"GR Cup","Am","77","2:26.635","2:27.648","6:42.754","","","","","","","","03:52.346"
"GR Cup","Am","78","2:26.176","2:27.427","2:52.976","2:56.285","4:52.723","","","","","","03:07.117"
"GR Cup","Am","80","2:25.953","2:27.367","7:52.557","","","","","","","","04:15.292"
"GR Cup","Am","88","2:25.230","2:26.142","3:00.195","3:07.462","4:14.417","","","","","","03:02.689"
"GR Cup","Am","99","2:25.619","3:06.200","7:57.603","","","","","","","","04:29.807"